source_sha256	retained_path	original_path	encoding
010e22fac70b7b9a7674d62e331f9263c8c5e2c3e28ddc833777cf05d262839a	native/verification.json.gz	/tmp/shardbound-phase-restarts-native/verification.json	gzip
84481644da16b37ebec40f84e87a16b102053b97c72c26f5d3a4716f40c6848a	native/prepared.json.gz	/tmp/shardbound-phase-restarts-native/prepared.json	gzip
b4112251e64544209f44f0caf076cfdaad11cad2d075e63382a48f4b5a2b33be	native/resumed.json.gz	/tmp/shardbound-phase-restarts-native/resumed.json	gzip
daed4ca6c235620b8f60502a318dbb2906f50feac9c7fa73593560783b9d237f	native/saves/campaign.json.gz	/tmp/shardbound-phase-restarts-native/campaign-saved.json	gzip
3707f3f782140440cd4f52643585f1128f668ff5b6ddafdce64ffef0e31fae8b	native/saves/battle.json.gz	/tmp/shardbound-phase-restarts-native/battle-saved.json	gzip
ad1e2cd4c38fba68e7053a8229b5d33a6163bda55ee9fd962a9580f1aeacf656	native/saves/skill.json.gz	/tmp/shardbound-phase-restarts-native/skill-saved.json	gzip
91acc71d9dae2493e9163d2cb5e793e4775ae0ac1a9170a969b6cf82cc970d2c	native/saves/relic.json.gz	/tmp/shardbound-phase-restarts-native/relic-saved.json	gzip
f68611fbcb6183084eedf9f732b198dd958796f5f460e99838cf08d1d6f1585f	native/saves/result.json.gz	/tmp/shardbound-phase-restarts-native/result-saved.json	gzip
49e3b46a84e65dd28d8eac20364ff68aecddc65e0e734f3a7fec2fc5e4c0eba6	native/saves/departure.json.gz	/tmp/shardbound-phase-restarts-native/departure-saved.json	gzip
7cbc9bc66d01e3921f0bfb091c6e9823fb7737da813f16d2f13d6c3e103530c8	native/saves/recovery.json.gz	/tmp/shardbound-phase-restarts-native/recovery-saved.json	gzip
e76ba36879766613df1bebb1628dff6562a0cc275d1562ac29cf0ab7173d57bf	native/saves/completed.json.gz	/tmp/shardbound-phase-restarts-native/completed-saved.json	gzip
c9d27ab7aacaa04da180b4a09b2d225add46ca50eed9893f6318fa776ec16a9c	native/saves/capital-loss.json.gz	/tmp/shardbound-phase-restarts-native/capital-loss-saved.json	gzip
a24e79d63cbcd4a380884c1699079e7ba1d2bb0977d4a5a0e873614730be8f9c	native/skill-restarted.png	/tmp/shardbound-phase-restarts-native/skill-restarted.png	copy
c1a3e298cfb0845dd8ed5abfaeccdd7fbb64cc496fab71c3ce2c91eafa75dbf6	native/relic-restarted.png	/tmp/shardbound-phase-restarts-native/relic-restarted.png	copy
9e77dcf56fab23fdaf09ea3c775b755633bba37c94b380769a33621aa188fbed	native/departure-restarted.png	/tmp/shardbound-phase-restarts-native/departure-restarted.png	copy
7c46f14eb3166e0fb3ae1e46ed77068663ce4f2839699ff1b9ad7356c6385b95	native/recovery-restarted.png	/tmp/shardbound-phase-restarts-native/recovery-restarted.png	copy
6157d62f97364652c04c16594ecf728fd9a42e1e1175339095127b62769c4abb	native/completed-restarted.png	/tmp/shardbound-phase-restarts-native/completed-restarted.png	copy
3bd5ed2514dee9645f423491d37d626c926353fa45187c2480cb23c8ba786ce4	native/capital-loss-restarted.png	/tmp/shardbound-phase-restarts-native/capital-loss-restarted.png	copy
4c4bfc48f8ff9f07eff7b1b0a54e457e297fc94ab5b126c44d119fad3b52c490	native/resume.log	/tmp/shardbound-phase-restarts-native/resume.log	copy
fb398b666ab700066edfc1c092199e6a5d15cf9dff23d8a56defbc77b5d4fc04	visual-review.md	/tmp/shardbound-phase-restarts-visual-review.md	copy
